metrics	av_accuracy	av_time	accuracy	time
['3' 'equal' 'majority_class' 'euclidean']	0.9650482589452356	0.16003739833831787	"[0.96276596 0.96296296 0.93121693 0.96825397 0.94179894 0.97368421
 0.97354497 0.98412698 0.9787234  0.97340426]"	"[0.16061401 0.16059351 0.15888214 0.15830374 0.15909243 0.16011119
 0.16331697 0.15971017 0.15854478 0.16120505]"
['3' 'equal' 'majority_class' 'chebyshev']	0.9655717603701927	1.2299602031707764	"[0.95744681 0.96296296 0.94179894 0.97354497 0.95238095 0.97894737
 0.96296296 0.97354497 0.9787234  0.97340426]"	"[1.22539139 1.22804403 1.22075701 1.22050333 1.22866058 1.32545853
 1.21111584 1.21814227 1.20879841 1.21273065]"
['3' 'equal' 'inverse_distance' 'minkowski']	0.4872706292919059	0.15754570960998535	"[0.45212766 0.46560847 0.51322751 0.4973545  0.49206349 0.5
 0.46560847 0.4973545  0.48404255 0.50531915]"	"[0.15715265 0.16050172 0.15696502 0.15735364 0.15714169 0.15848279
 0.15839458 0.15735245 0.15610671 0.15600586]"
['3' 'equal' 'inverse_distance' 'euclidean']	0.4867415287628053	0.16469066143035888	"[0.45212766 0.47089947 0.50793651 0.4973545  0.49206349 0.5
 0.46560847 0.49206349 0.48404255 0.50531915]"	"[0.16047454 0.16666174 0.18231153 0.16589355 0.16079664 0.16191363
 0.16111755 0.16110539 0.16488791 0.16174412]"
['3' 'equal' 'inverse_distance' 'chebyshev']	0.5031858310077795	1.2588743209838866	"[0.51595745 0.50793651 0.55026455 0.44444444 0.49206349 0.49473684
 0.51851852 0.50793651 0.5        0.5       ]"	"[1.23179483 1.33243132 1.2820878  1.3376236  1.24190712 1.23970318
 1.23862386 1.22978115 1.22387242 1.23091793]"
['3' 'equal' 'sheppard_work' 'minkowski']	0.48884673267092077	0.16088860034942626	"[0.45744681 0.47089947 0.51322751 0.49206349 0.49206349 0.51052632
 0.47619048 0.5026455  0.46808511 0.50531915]"	"[0.15857625 0.15939665 0.15918446 0.15717459 0.15865898 0.16693735
 0.1761384  0.15758538 0.15754437 0.15768957]"
['3' 'equal' 'sheppard_work' 'euclidean']	0.4867359296586621	0.1611262798309326	"[0.46276596 0.47089947 0.50793651 0.49206349 0.48677249 0.50526316
 0.47619048 0.49206349 0.46808511 0.50531915]"	"[0.16050029 0.16086411 0.16263604 0.16171718 0.16085744 0.16124701
 0.16101623 0.16015673 0.16270471 0.15956306]"
['3' 'equal' 'sheppard_work' 'chebyshev']	0.49310477730970453	1.2564087867736817	"[0.5        0.47619048 0.55026455 0.43915344 0.48677249 0.49473684
 0.53439153 0.48677249 0.45744681 0.50531915]"	"[1.22919226 1.2242527  1.22519898 1.31203055 1.24430513 1.25474072
 1.34901881 1.25286555 1.24139643 1.23108673]"
['3' 'mutual_info' 'majority_class' 'minkowski']	0.9539089153142903	0.1644665479660034	"[0.95212766 0.96825397 0.94708995 0.95767196 0.93650794 0.95789474
 0.95238095 0.97354497 0.96276596 0.93085106]"	"[0.19343209 0.16176486 0.16056085 0.16076088 0.16092277 0.16573071
 0.1605494  0.16006899 0.16086411 0.16001081]"
['3' 'mutual_info' 'majority_class' 'euclidean']	0.9555074447347686	0.1624401569366455	"[0.95744681 0.97354497 0.94708995 0.95767196 0.93650794 0.95263158
 0.94708995 0.97883598 0.96276596 0.94148936]"	"[0.16192889 0.16184998 0.15995717 0.16193175 0.16359615 0.16880131
 0.16597629 0.16053677 0.16003704 0.15978622]"
