metrics	av_accuracy	av_time	accuracy	time
['3' 'equal' 'majority_class' 'euclidean']	0.9324123561800011	0.9217962741851806	"[0.944      0.92857143 0.93899204 0.9204244  0.93386243 0.92857143
 0.92063492 0.92592593 0.93899204 0.94414894]"	"[0.77170944 0.77230716 0.76704049 1.00590372 1.03104973 0.95145679
 0.98169923 0.96311021 0.94485068 1.0288353 ]"
['3' 'equal' 'majority_class' 'chebyshev']	0.9313443010536921	10.014799857139588	"[0.93866667 0.93121693 0.933687   0.91777188 0.93650794 0.92857143
 0.92857143 0.92328042 0.93633952 0.93882979]"	"[11.58797956 11.80494165  9.97771573  9.38296342  9.44476461  9.72679305
  9.65300655  9.55853033  9.56307793  9.44822574]"
['3' 'equal' 'inverse_distance' 'minkowski']	0.44026077286480814	0.7671329259872437	"[0.39733333 0.41798942 0.37400531 0.50132626 0.53174603 0.47619048
 0.45767196 0.44444444 0.48541114 0.31648936]"	"[0.76303673 0.76725578 0.76446462 0.77134991 0.76568484 0.77146602
 0.76940608 0.77070189 0.76157522 0.76638818]"
['3' 'equal' 'inverse_distance' 'euclidean']	0.4283368134704892	0.7722305297851563	"[0.32266667 0.41798942 0.36870027 0.52785146 0.43121693 0.44179894
 0.42857143 0.45767196 0.52519894 0.36170213]"	"[0.79927564 0.7694056  0.76655245 0.77020192 0.76702332 0.76847959
 0.77080631 0.7770617  0.76734352 0.76615524]"
['3' 'equal' 'inverse_distance' 'chebyshev']	0.40476376696046545	9.350984477996827	"[0.30133333 0.46296296 0.40583554 0.42440318 0.3994709  0.37566138
 0.4021164  0.42592593 0.4270557  0.42287234]"	"[9.15830994 9.38973522 9.26493144 9.41134095 9.2790451  9.41156769
 9.39633822 9.38645864 9.46663594 9.34548163]"
['3' 'equal' 'sheppard_work' 'minkowski']	0.44026077286480814	0.7765072584152222	"[0.39733333 0.41798942 0.37400531 0.50132626 0.53174603 0.47619048
 0.45767196 0.44444444 0.48541114 0.31648936]"	"[0.7923243  0.76948237 0.76687932 0.77346802 0.77391195 0.76868343
 0.76942825 0.77359056 0.76902819 0.80827618]"
['3' 'equal' 'sheppard_work' 'euclidean']	0.4283368134704892	0.770688271522522	"[0.32266667 0.41798942 0.36870027 0.52785146 0.43121693 0.44179894
 0.42857143 0.45767196 0.52519894 0.36170213]"	"[0.77281427 0.77015972 0.7659781  0.77612591 0.77283907 0.76615763
 0.76972032 0.77058959 0.77308416 0.76941395]"
['3' 'equal' 'sheppard_work' 'chebyshev']	0.4063552901244024	9.3057790517807	"[0.304      0.46560847 0.40848806 0.42970822 0.3994709  0.37566138
 0.4047619  0.42592593 0.4270557  0.42287234]"	"[9.18572211 9.22672677 9.2754755  9.25021744 9.33186698 9.39547706
 9.37671041 9.35216284 9.3667686  9.29666281]"
['3' 'mutual_info' 'majority_class' 'minkowski']	0.9636834211683809	0.7720636129379272	"[0.96       0.95238095 0.96816976 0.96816976 0.96825397 0.96296296
 0.95502646 0.96296296 0.97082228 0.96808511]"	"[0.78114891 0.82170582 0.77683616 0.76286149 0.77902412 0.76074147
 0.76556492 0.76209712 0.7591536  0.75150251]"
['3' 'mutual_info' 'majority_class' 'euclidean']	0.9668714057579063	0.7579855918884277	"[0.97066667 0.96296296 0.96816976 0.9734748  0.95502646 0.95502646
 0.97619048 0.95767196 0.97877984 0.97074468]"	"[0.75081134 0.75896955 0.76312447 0.75508785 0.75785947 0.75720477
 0.76818633 0.75826192 0.7569077  0.75344253]"
['3' 'mutual_info' 'majority_class' 'chebyshev']	0.9631557540391731	9.543458342552185	"[0.968      0.95767196 0.96551724 0.95490716 0.97354497 0.96031746
 0.96560847 0.94708995 0.9734748  0.96542553]"	"[9.40179086 9.52093315 9.54241562 9.47071052 9.45747256 9.69437504
 9.67517042 9.62275243 9.65243363 9.3965292 ]"
['3' 'mutual_info' 'inverse_distance' 'minkowski']	0.6481078803400886	0.7560684204101562	"[0.6        0.61640212 0.68435013 0.67108753 0.67195767 0.74338624
 0.68783069 0.62169312 0.67639257 0.50797872]"	"[0.75638008 0.75503325 0.76225376 0.76060033 0.75498247 0.75055265
 0.75894809 0.7576623  0.75565362 0.74861765]"
['3' 'mutual_info' 'inverse_distance' 'euclidean']	0.6616666787602223	0.7592553615570068	"[0.61333333 0.58465608 0.71883289 0.66843501 0.6984127  0.6984127
 0.64550265 0.63492063 0.83554377 0.51861702]"	"[0.75629067 0.75746584 0.75999904 0.75593233 0.76333261 0.75854874
 0.76020932 0.76118612 0.76202035 0.7575686 ]"
['3' 'mutual_info' 'inverse_distance' 'chebyshev']	0.664138031485647	9.543719816207886	"[0.704      0.55026455 0.69496021 0.5596817  0.66666667 0.73280423
 0.6984127  0.61904762 0.75596817 0.65957447]"	"[9.39788365 9.61270952 9.45886445 9.526829   9.53052521 9.53014541
 9.60592437 9.57231069 9.61787939 9.58412647]"
['3' 'mutual_info' 'sheppard_work' 'minkowski']	0.6630218925907114	0.7578502178192139	"[0.63733333 0.54497354 0.71883289 0.62864721 0.71164021 0.74074074
 0.63756614 0.62433862 0.80901857 0.57712766]"	"[0.75644112 0.75744176 0.76059175 0.75643182 0.76370192 0.75921082
 0.75683045 0.75665736 0.75436759 0.75682759]"
['3' 'mutual_info' 'sheppard_work' 'euclidean']	0.6436781493336152	0.7611274242401123	"[0.632      0.60846561 0.67639257 0.61803714 0.67724868 0.5978836
 0.62433862 0.68518519 0.72148541 0.59574468]"	"[0.75379133 0.7612958  0.75102115 0.75960898 0.78883982 0.75995588
 0.75691223 0.76543498 0.76044106 0.75397301]"
